week,geo,promo_description
2022-12-26,Geo30,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-08-29,Geo30,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-08-28,Geo30,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-07-03,Geo30,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-05-24,Geo31,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-11-14,Geo32,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-12-20,Geo33,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-07-24,Geo35,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-02-06,Geo35,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-07-05,Geo35,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-08-29,Geo35,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-10-04,Geo36,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-09-20,Geo36,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-05-17,Geo36,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-04-26,Geo38,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-08-30,Geo38,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-04-11,Geo39,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-04-11,Geo4,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-10-18,Geo4,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-03-07,Geo4,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-11-15,Geo4,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-02-14,Geo5,Darmowa dostawa dla zamówień powyżej 250 zł.
2021-09-27,Geo6,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-04-03,Geo6,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-07-25,Geo6,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-01-23,Geo7,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-01-17,Geo9,Darmowa dostawa dla zamówień powyżej 250 zł.
2022-07-11,Geo9,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-05-01,Geo9,Darmowa dostawa dla zamówień powyżej 250 zł.
2023-10-09,Geo10,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-03-27,Geo10,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-10-18,Geo10,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-07-11,Geo11,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-08-30,Geo16,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-10-03,Geo19,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-06-13,Geo19,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-09-11,Geo2,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-04-11,Geo2,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-05-29,Geo21,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-10-17,Geo22,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-12-18,Geo23,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-10-24,Geo23,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-10-23,Geo23,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-10-24,Geo26,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-10-18,Geo26,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-08-29,Geo27,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-03-27,Geo29,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-02-15,Geo3,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-04-05,Geo31,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-10-31,Geo32,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2021-01-25,Geo32,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-10-02,Geo32,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-08-07,Geo35,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-06-27,Geo36,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2024-01-01,Geo39,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-01-10,Geo4,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-05-08,Geo6,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-07-03,Geo6,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-02-27,Geo7,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2022-08-08,Geo7,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-01-23,Geo8,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-12-04,Geo9,Darmowa dostawa do paczkomatu bez kwoty minimalnej.
2023-06-12,Geo0,Darmowa dostawa do paczkomatu od 150 zł.
2022-02-14,Geo0,Darmowa dostawa do paczkomatu od 150 zł.
2022-03-21,Geo1,Darmowa dostawa do paczkomatu od 150 zł.
2023-03-13,Geo10,Darmowa dostawa do paczkomatu od 150 zł.
2023-10-30,Geo11,Darmowa dostawa do paczkomatu od 150 zł.
2022-11-28,Geo11,Darmowa dostawa do paczkomatu od 150 zł.
2021-03-08,Geo11,Darmowa dostawa do paczkomatu od 150 zł.
2022-02-21,Geo12,Darmowa dostawa do paczkomatu od 150 zł.
2023-03-06,Geo13,Darmowa dostawa do paczkomatu od 150 zł.
2022-01-10,Geo14,Darmowa dostawa do paczkomatu od 150 zł.
2022-05-30,Geo14,Darmowa dostawa do paczkomatu od 150 zł.
2021-05-17,Geo15,Darmowa dostawa do paczkomatu od 150 zł.
2022-10-31,Geo16,Darmowa dostawa do paczkomatu od 150 zł.
2022-05-09,Geo16,Darmowa dostawa do paczkomatu od 150 zł.
2023-08-28,Geo17,Darmowa dostawa do paczkomatu od 150 zł.
2023-01-02,Geo18,Darmowa dostawa do paczkomatu od 150 zł.
2022-05-02,Geo19,Darmowa dostawa do paczkomatu od 150 zł.
2022-09-26,Geo19,Darmowa dostawa do paczkomatu od 150 zł.
2022-08-29,Geo22,Darmowa dostawa do paczkomatu od 150 zł.
2022-08-08,Geo22,Darmowa dostawa do paczkomatu od 150 zł.
2023-01-16,Geo22,Darmowa dostawa do paczkomatu od 150 zł.
2022-11-07,Geo23,Darmowa dostawa do paczkomatu od 150 zł.
2023-12-04,Geo23,Darmowa dostawa do paczkomatu od 150 zł.
2022-02-28,Geo24,Darmowa dostawa do paczkomatu od 150 zł.
2023-02-13,Geo24,Darmowa dostawa do paczkomatu od 150 zł.
2021-07-05,Geo25,Darmowa dostawa do paczkomatu od 150 zł.
2022-08-29,Geo25,Darmowa dostawa do paczkomatu od 150 zł.
2023-12-11,Geo28,Darmowa dostawa do paczkomatu od 150 zł.
2022-03-28,Geo28,Darmowa dostawa do paczkomatu od 150 zł.
2023-07-24,Geo28,Darmowa dostawa do paczkomatu od 150 zł.
2023-07-10,Geo3,Darmowa dostawa do paczkomatu od 150 zł.
2021-09-27,Geo31,Darmowa dostawa do paczkomatu od 150 zł.
2022-04-25,Geo32,Darmowa dostawa do paczkomatu od 150 zł.
2022-06-06,Geo33,Darmowa dostawa do paczkomatu od 150 zł.
2024-01-01,Geo33,Darmowa dostawa do paczkomatu od 150 zł.
2023-11-13,Geo35,Darmowa dostawa do paczkomatu od 150 zł.
2022-02-28,Geo35,Darmowa dostawa do paczkomatu od 150 zł.
2021-06-21,Geo36,Darmowa dostawa do paczkomatu od 150 zł.
2022-12-05,Geo36,Darmowa dostawa do paczkomatu od 150 zł.
2023-10-30,Geo37,Darmowa dostawa do paczkomatu od 150 zł.
2023-07-24,Geo38,Darmowa dostawa do paczkomatu od 150 zł.
2023-03-20,Geo38,Darmowa dostawa do paczkomatu od 150 zł.
2022-09-12,Geo39,Darmowa dostawa do paczkomatu od 150 zł.
2022-09-19,Geo4,Darmowa dostawa do paczkomatu od 150 zł.
2023-09-18,Geo6,Darmowa dostawa do paczkomatu od 150 zł.
2022-11-14,Geo6,Darmowa dostawa do paczkomatu od 150 zł.
2022-12-05,Geo7,Darmowa dostawa do paczkomatu od 150 zł.
2021-02-08,Geo7,Darmowa dostawa do paczkomatu od 150 zł.
2022-02-28,Geo7,Darmowa dostawa do paczkomatu od 150 zł.
2022-10-31,Geo8,Darmowa dostawa do paczkomatu od 150 zł.
2024-01-08,Geo9,Darmowa dostawa do paczkomatu od 150 zł.
2022-06-13,Geo1,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-05-31,Geo14,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2023-05-29,Geo15,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-02-28,Geo17,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-01-24,Geo21,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-04-05,Geo24,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-12-13,Geo26,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2023-08-14,Geo29,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-03-01,Geo29,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-07-05,Geo30,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-10-03,Geo30,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2021-01-25,Geo35,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-06-27,Geo38,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2023-07-10,Geo7,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-05-16,Geo8,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2023-05-22,Geo8,Darmowa dostawa do punktu odbioru bez kwoty minimalnej.
2022-09-19,Geo12,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-10-02,Geo13,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-05-02,Geo15,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-06-14,Geo15,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-06-14,Geo16,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-06-05,Geo16,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-08-30,Geo17,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-06-27,Geo17,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-03-28,Geo18,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-06-20,Geo18,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-01-16,Geo19,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-12-12,Geo19,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-12-27,Geo2,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-08-21,Geo21,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-04-19,Geo22,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-12-05,Geo23,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-01-17,Geo24,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-01-24,Geo25,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-07-04,Geo26,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-06-07,Geo28,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-04-25,Geo28,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-07-19,Geo29,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-07-17,Geo3,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-10-18,Geo30,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-10-11,Geo31,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-12-04,Geo31,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-10-31,Geo31,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-10-10,Geo31,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-11-06,Geo32,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-02-27,Geo32,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-07-05,Geo32,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-10-03,Geo33,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-02-13,Geo33,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-09-26,Geo33,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-11-15,Geo34,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-09-27,Geo36,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-12-26,Geo37,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-12-04,Geo38,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-09-12,Geo38,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-06-20,Geo4,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-09-11,Geo4,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-02-07,Geo5,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2021-09-20,Geo6,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-06-13,Geo7,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2022-09-26,Geo7,Darmowa dostawa do punktu odbioru na wszystkie zamówienia.
2023-11-27,Geo0,Darmowa dostawa do punktu odbioru od 200 zł.
2023-11-20,Geo10,Darmowa dostawa do punktu odbioru od 200 zł.
2021-03-01,Geo10,Darmowa dostawa do punktu odbioru od 200 zł.
2021-11-15,Geo11,Darmowa dostawa do punktu odbioru od 200 zł.
2023-06-19,Geo11,Darmowa dostawa do punktu odbioru od 200 zł.
2022-05-16,Geo11,Darmowa dostawa do punktu odbioru od 200 zł.
2022-10-24,Geo14,Darmowa dostawa do punktu odbioru od 200 zł.
2023-10-23,Geo15,Darmowa dostawa do punktu odbioru od 200 zł.
2021-12-27,Geo16,Darmowa dostawa do punktu odbioru od 200 zł.
2023-04-17,Geo16,Darmowa dostawa do punktu odbioru od 200 zł.
2023-06-12,Geo16,Darmowa dostawa do punktu odbioru od 200 zł.
2021-08-23,Geo17,Darmowa dostawa do punktu odbioru od 200 zł.
2021-02-15,Geo17,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-10,Geo17,Darmowa dostawa do punktu odbioru od 200 zł.
2021-01-25,Geo18,Darmowa dostawa do punktu odbioru od 200 zł.
2023-09-25,Geo19,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-03,Geo19,Darmowa dostawa do punktu odbioru od 200 zł.
2023-02-20,Geo20,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-17,Geo22,Darmowa dostawa do punktu odbioru od 200 zł.
2021-11-15,Geo22,Darmowa dostawa do punktu odbioru od 200 zł.
2023-01-23,Geo22,Darmowa dostawa do punktu odbioru od 200 zł.
2021-03-08,Geo23,Darmowa dostawa do punktu odbioru od 200 zł.
2021-04-26,Geo23,Darmowa dostawa do punktu odbioru od 200 zł.
2023-02-27,Geo24,Darmowa dostawa do punktu odbioru od 200 zł.
2023-09-18,Geo24,Darmowa dostawa do punktu odbioru od 200 zł.
2021-02-22,Geo24,Darmowa dostawa do punktu odbioru od 200 zł.
2023-05-22,Geo25,Darmowa dostawa do punktu odbioru od 200 zł.
2022-11-28,Geo25,Darmowa dostawa do punktu odbioru od 200 zł.
2021-11-08,Geo25,Darmowa dostawa do punktu odbioru od 200 zł.
2022-02-14,Geo26,Darmowa dostawa do punktu odbioru od 200 zł.
2022-12-26,Geo28,Darmowa dostawa do punktu odbioru od 200 zł.
2023-03-06,Geo29,Darmowa dostawa do punktu odbioru od 200 zł.
2022-06-13,Geo3,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-24,Geo30,Darmowa dostawa do punktu odbioru od 200 zł.
2022-07-04,Geo31,Darmowa dostawa do punktu odbioru od 200 zł.
2022-08-15,Geo32,Darmowa dostawa do punktu odbioru od 200 zł.
2021-02-08,Geo32,Darmowa dostawa do punktu odbioru od 200 zł.
2023-12-18,Geo32,Darmowa dostawa do punktu odbioru od 200 zł.
2021-08-16,Geo33,Darmowa dostawa do punktu odbioru od 200 zł.
2023-04-17,Geo33,Darmowa dostawa do punktu odbioru od 200 zł.
2023-01-09,Geo34,Darmowa dostawa do punktu odbioru od 200 zł.
2022-06-13,Geo34,Darmowa dostawa do punktu odbioru od 200 zł.
2023-07-24,Geo34,Darmowa dostawa do punktu odbioru od 200 zł.
2023-08-28,Geo34,Darmowa dostawa do punktu odbioru od 200 zł.
2023-12-25,Geo34,Darmowa dostawa do punktu odbioru od 200 zł.
2022-12-26,Geo36,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-31,Geo36,Darmowa dostawa do punktu odbioru od 200 zł.
2021-04-26,Geo37,Darmowa dostawa do punktu odbioru od 200 zł.
2022-05-09,Geo38,Darmowa dostawa do punktu odbioru od 200 zł.
2022-02-21,Geo38,Darmowa dostawa do punktu odbioru od 200 zł.
2021-12-27,Geo39,Darmowa dostawa do punktu odbioru od 200 zł.
2021-11-15,Geo39,Darmowa dostawa do punktu odbioru od 200 zł.
2022-06-06,Geo39,Darmowa dostawa do punktu odbioru od 200 zł.
2022-01-17,Geo4,Darmowa dostawa do punktu odbioru od 200 zł.
2021-11-08,Geo4,Darmowa dostawa do punktu odbioru od 200 zł.
2021-04-19,Geo8,Darmowa dostawa do punktu odbioru od 200 zł.
2023-02-27,Geo9,Darmowa dostawa do punktu odbioru od 200 zł.
2023-08-28,Geo10,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2021-12-13,Geo14,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2023-04-03,Geo16,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2023-05-29,Geo17,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2022-01-24,Geo3,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2021-03-22,Geo36,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2021-07-05,Geo38,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2022-07-18,Geo6,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2023-08-14,Geo9,Darmowa dostawa ekspresowa dla zamówień powyżej 200 zł.
2021-12-13,Geo1,Darmowa dostawa ekspresowa i gratis o wartości 60 zł.
2021-12-13,Geo33,Darmowa dostawa ekspresowa i zwrot bez progu.
2023-12-25,Geo4,Darmowa dostawa ekspresowa i zwrot bez progu.
2021-05-31,Geo1,Darmowa dostawa ekspresowa na wszystkie zamówienia.
2022-11-21,Geo13,Darmowa dostawa ekspresowa na wszystkie zamówienia.
2022-09-05,Geo2,Darmowa dostawa ekspresowa na wszystkie zamówienia.
2021-08-30,Geo23,Darmowa dostawa ekspresowa na wszystkie zamówienia.
