week,geo,impression_tiktok,impression_tv,impression_outdoor1,impression_google,impression_facebook,impression_outdoor2,impression_organic,market_share,cost_tiktok,cost_tv,cost_outdoor1,cost_google,cost_facebook,cost_outdoor2,conversions,revenue,population
2022-12-26,Geo0,233098,255000,186000,280160,128316,,28884,0.04463145912304262,1709.243200000,2461.117200000,1384.812300000,2183.242200000,999.826970000,2502.15888193284,2072967.900000000,41527.484017066,136670.940000000
2023-06-26,Geo0,11165,160000,229000,608864,292965,,275192,0.041510219048388246,81.869850000,1542.240400000,1702.922600000,4744.780000000,2282.757600000,3704.681514635727,1835606.500000000,36670.358938486,136670.940000000
2023-06-12,Geo0,274492,181000,154000,374895,369280,,283677,0.039846876858656496,2012.773900000,1749.150800000,1144.763700000,2921.497000000,2877.397000000,2040.3280715675464,1800127.000000000,35949.686471153,136670.940000000
2022-10-10,Geo0,315727,230000,64000,290206,611526,,111019,0.0522794622597977,2315.138700000,2221.629000000,472.710820000,2261.529000000,4764.956500000,776.7239447082192,2850047.800000000,57362.513063908,136670.940000000
2021-08-09,Geo0,65819,0,172000,501537,269422,,0,0.06936839950944879,482.632500000,0E-9,1277.539400000,3908.397700000,2099.312500000,2564.392826690725,3191705.200000000,63982.949172002,136670.940000000
2023-12-25,Geo0,65532,0,157000,223832,166381,,256189,0.049134095025567356,480.528000000,0E-9,1166.224100000,1744.287100000,1296.426000000,2286.1291459741537,2385392.200000000,47809.173075264,136670.940000000
2021-02-01,Geo1,597519,361000,255000,584855,452186,,236553,0.025406795506355946,4381.441400000,3480.475000000,1895.963300000,4557.681600000,3523.393300000,3212.9029658553977,1900217.600000000,37876.950010790,199816.900000000
2021-12-27,Geo1,660190,0,273000,847647,871736,,671448,0.08897251935795512,4840.990700000,0E-9,2025.484300000,6605.578000000,6792.490000000,3145.767198397294,5514303.000000000,110366.182822590,199816.900000000
2023-11-20,Geo1,56609,26000,430000,709620,377168,,0,0.009308270982695257,415.098100000,247.943540000,3193.343300000,5529.955600000,2938.859900000,4910.4896458067715,740076.800000000,14868.964397248,199816.900000000
2021-08-30,Geo1,922491,846000,702000,1455221,810291,,682946,0.020960328978361368,6764.371000000,8157.831500000,5216.159700000,11340.305000000,6313.716000000,10731.191269276249,1649394.500000000,32895.804305065,199816.900000000
2022-11-28,Geo1,575486,174000,178000,1123694,690795,,337250,0.01074548796054026,4219.879400000,1677.130700000,1320.103800000,8756.768000000,5382.613300000,2111.981329374328,858483.560000000,17252.248733636,199816.900000000
2022-01-03,Geo1,48943,416000,223000,851076,972554,,585708,0.040134920781767336,358.885470000,4008.197500000,1656.813700000,6632.299300000,7578.055000000,2459.5420512927803,3162691.200000000,63005.559066182,199816.900000000
2022-01-24,Geo1,587098,349000,106000,1044342,359301,,151805,0.021921969664580675,4305.027000000,3363.363000000,789.454000000,8138.390600000,2799.641800000,1235.2886200341798,1694772.800000000,34020.952231067,199816.900000000
2021-03-22,Geo1,266579,113000,147000,998091,801985,,478950,0.008274750712636857,1954.750000000,1092.611800000,1092.903200000,7777.964000000,6248.996000000,2073.185654342934,671304.700000000,13448.931785894,199816.900000000
2023-11-13,Geo1,190369,320000,559000,1156086,966546,,254131,0.010356484774234,1395.923100000,3088.742000000,4155.269000000,9009.194000000,7531.241000000,8074.734656179831,870047.250000000,17370.446363699,199816.900000000
2021-10-04,Geo1,413998,371000,295000,1201048,521389,,399490,0.029922679221916777,3035.732700000,3579.008300000,2190.710700000,9359.575000000,4062.617000000,3880.575416449004,2233913.500000000,44659.049408246,199816.900000000
2023-01-02,Geo1,930344,130000,18000,628958,543145,,0,0.031304933569206064,6821.955000000,1249.339700000,130.479600000,4901.369600000,4232.138000000,228.7339341247874,2298017.500000000,45705.738853070,199816.900000000
2021-10-18,Geo1,605945,427000,230000,687892,392842,,0,0.06063581854656631,4443.227000000,4116.786600000,1709.707200000,5360.632300000,3060.990200000,3435.8769307491543,4050002.200000000,81541.395644067,199816.900000000
2022-12-26,Geo1,601295,369000,69000,837768,175638,,0,0.0446984728473401,4409.130000000,3553.343300000,514.428040000,6528.592300000,1368.555800000,1065.0805031239067,3078408.800000000,61886.261824486,199816.900000000
2021-08-02,Geo1,149777,267000,132000,675799,787984,,188305,0.008454061853539536,1098.273200000,2572.087600000,979.106100000,5266.394000000,6139.901400000,1538.7885331852572,644770.600000000,12830.407517649,199816.900000000
2023-08-07,Geo1,537383,126000,324000,1131695,384719,,129012,0.06134350370924173,3940.480700000,1218.892700000,2407.879400000,8819.119000000,2997.696500000,4047.7918286823137,4570132.500000000,91774.773038813,199816.900000000
2022-11-14,Geo1,528171,369000,358000,1353866,879110,,779251,0.010420366913598635,3872.931600000,3559.137700000,2660.471400000,10550.462000000,6849.947300000,5587.462922477403,886984.440000000,17708.369379424,199816.900000000
2022-08-22,Geo1,301076,228000,272000,1254991,319915,,603873,0.05099676681524949,2207.707000000,2196.870400000,2023.626500000,9779.945000000,2492.749500000,3218.6419825374924,3462178.000000000,68873.958649788,199816.900000000
2024-01-01,Geo1,897814,,448000,891343,307507,,575692,0.051259522081587974,6583.421400000,3506.323000000,3332.256800000,6946.094000000,2396.067100000,5788.918810494081,3207906.500000000,64220.581523742,199816.900000000
2021-11-22,Geo1,959141,535000,542000,1478473,1038126,,768535,0.0154756497919285,7033.115700000,5158.406000000,4029.768000000,11521.504000000,8088.986000000,6011.473707621336,1227681.800000000,24533.885055202,199816.900000000
2023-02-20,Geo1,0,266000,121000,504261,302848,,0,0.006414398737376854,0E-9,2567.961200000,902.827600000,3929.625500000,2359.764600000,1545.5525817299763,502845.060000000,10083.740052232,199816.900000000
2023-08-21,Geo1,344612,306000,137000,393001,361840,,177958,0.007212109118822884,2526.944600000,2952.289800000,1016.654500000,3062.594000000,2819.425300000,2130.7096212885167,582637.900000000,11600.081707461,199816.900000000
2021-12-13,Geo1,400224,642000,537000,1386076,624494,,540989,0.05766101154269584,2934.731700000,6189.150000000,3987.768600000,10801.469000000,4866.002000000,6784.287580388169,3604359.500000000,72607.108044797,199816.900000000
2021-01-25,Geo1,293884,192000,108000,415415,710474,,0,0.03142622293004631,2154.970000000,1847.857800000,803.431600000,3237.262700000,5535.950700000,1674.3761283774993,2126297.800000000,42706.718954871,199816.900000000
2022-10-24,Geo1,228421,271000,369000,1114918,832327,,655125,0.011945180582364339,1674.948000000,2608.637700000,2740.636500000,8688.378000000,6485.418500000,4928.020556139863,904597.100000000,18094.725445277,199816.900000000
2022-05-30,Geo1,652790,318000,386000,1041890,0,,504610,0.03084086356006767,4786.728500000,3062.411900000,2866.404800000,8119.282700000,0E-9,5743.892645320768,2111353.000000000,42297.277266721,199816.900000000
2022-10-10,Geo1,899785,458000,624000,1116590,872478,,260087,0.00966141891660862,6597.874500000,4419.261000000,4640.040000000,8701.408000000,6798.271500000,6835.532417179002,862144.800000000,17094.032905963,199816.900000000
2023-11-27,Geo1,682305,210000,114000,984496,711504,,0,0.0435914522563682,5003.153300000,2020.715300000,846.746400000,7672.020500000,5543.976600000,1818.7466726534701,3487796.000000000,69853.620141552,199816.900000000
2021-03-29,Geo1,385287,362000,789000,1148082,571734,,403514,0.02512723167301567,2825.203000000,3487.397200000,5864.047000000,8946.820000000,4454.901000000,10075.866345761528,1914557.900000000,38720.817340244,199816.900000000
2022-12-05,Geo1,380992,435000,274000,897910,402297,,186239,0.03500648769916994,2793.708700000,4198.207000000,2035.278100000,6997.269500000,3134.662800000,3524.4671430415397,2460137.000000000,49138.956028001,199816.900000000
2023-12-11,Geo1,462243,0,296000,974315,569863,,292119,0.05102833464891425,3389.500000000,0E-9,2202.407000000,7592.681600000,4440.322000000,4702.937692651996,3431680.800000000,68625.088273212,199816.900000000
2021-11-15,Geo1,334114,280000,29000,818129,114330,,68225,0.04176119772274675,2449.965600000,2696.787600000,213.951170000,6375.549000000,890.849240000,398.2588106243503,2901419.200000000,57063.522847878,199816.900000000
2023-12-04,Geo1,429972,140000,997000,879559,830038,,542001,0.018246596386843957,3152.865700000,1354.091700000,7409.471700000,6854.263000000,6467.582500000,12552.212196713677,1373827.500000000,27691.151472293,199816.900000000
2022-01-17,Geo1,378651,0,401000,1326041,904918,,263591,0.019558970544540855,2776.543000000,0E-9,2976.278600000,10333.626000000,7051.041000000,6448.599551335746,1629145.500000000,32308.418532996,199816.900000000
2022-01-31,Geo1,254080,0,541000,1332884,709927,,563701,0.00984031459118483,1863.098300000,0E-9,4023.578000000,10386.952000000,5531.688500000,6992.538986320087,847435.800000000,16981.524476997,199816.900000000
2022-11-07,Geo1,297505,8000,157000,843058,656028,,41368,0.00836843514871008,2181.521700000,80.427155000,1166.967300000,6569.816400000,5111.712000000,1966.462116075161,679887.560000000,13548.218671704,199816.900000000
2023-11-06,Geo1,538866,392000,104000,365307,195258,,378596,0.06809095821179292,3951.355200000,3780.731700000,773.499800000,2846.779300000,1521.433100000,1387.222024693293,4406245.500000000,88451.161635557,199816.900000000
2022-05-23,Geo1,31755,,45000,305986,578351,,15341,0.028594325275997357,232.850630000,1201.326400000,332.660200000,2384.500000000,4506.460000000,728.2763829019623,2187744.000000000,43658.435493504,199816.900000000
2022-09-26,Geo1,196581,39000,46000,1170007,78064,,0,0.03224617313014142,1441.474000000,373.038540000,345.225860000,9117.678000000,608.267800000,689.5540270167525,2394579.800000000,47274.651671168,199816.900000000
2021-07-26,Geo1,171485,444000,10000,528000,812299,,262055,0.03129023852673776,1257.452000000,4279.733000000,75.906890000,4114.619600000,6329.362000000,146.54438273787764,2297831.200000000,46248.793237080,199816.900000000
2023-06-05,Geo1,299824,91000,72000,482760,389801,,401831,0.024285286431663552,2198.526600000,875.520260000,532.210270000,3762.071800000,3037.295000000,1102.6538557414644,1746015.400000000,34818.646253335,199816.900000000
2021-11-29,Geo1,478566,0,340000,1192147,613895,,579178,0.03445297109767376,3509.192000000,0E-9,2524.404000000,9290.211000000,4783.415500000,4592.207509750738,2567802.800000000,51650.308226260,199816.900000000
2022-02-07,Geo1,592542,360000,110000,1114425,0,,299006,0.03323251151745165,4344.946300000,3473.215000000,820.448360000,8684.536000000,0E-9,1208.3732427539514,2476350.200000000,49426.758867554,199816.900000000
2022-08-01,Geo1,607513,333000,462000,1005010,557683,,645031,0.05299523698205194,4454.724600000,3212.525600000,3429.475800000,7831.882300000,4345.416500000,5535.262601316522,3934972.800000000,78720.366445459,199816.900000000
2023-09-04,Geo1,538446,143000,181000,907193,375809,,348315,0.057837510790267554,3948.275400000,1381.270400000,1344.923000000,7069.610400000,2928.270500000,2063.1156649542304,4057483.200000000,81089.633536056,199816.900000000
2023-09-25,Geo1,513674,369000,670000,849629,870599,,550859,0.010329685524766404,3766.629200000,3553.006000000,4975.658000000,6621.023400000,6783.630400000,10643.465211926014,870014.200000000,17350.432186340,199816.900000000
2022-09-19,Geo1,345022,334000,383000,942760,366350,,569186,0.00974852568172992,2529.950700000,3222.022500000,2849.536600000,7346.778300000,2854.566700000,5857.408408884503,772547.800000000,15329.453544755,199816.900000000
2021-06-28,Geo1,184127,85000,294000,1220922,896192,,566004,0.007585822086790275,1350.152300000,822.879150000,2181.719500000,9514.450000000,6983.049000000,4199.079851575926,714337.000000000,14303.689788336,199816.900000000
2022-11-21,Geo1,649952,235000,206000,1275311,468097,,661678,0.05009314857555638,4765.918000000,2262.102800000,1533.579300000,9938.295000000,3647.370600000,2633.6484189207376,3491271.200000000,69783.036476361,199816.900000000
2023-05-22,Geo1,454821,0,198000,926726,221204,,0,0.05287700323656017,3335.076400000,0E-9,1473.871800000,7221.828000000,1723.602000000,2534.6536965241135,3217811.500000000,64249.961775213,199816.900000000
2022-10-17,Geo1,424270,200000,802000,1125074,744362,,656173,0.011167731870845942,3111.054400000,1925.701000000,5962.061000000,8767.522000000,5800.003000000,12669.044870414597,905067.440000000,18147.606796858,199816.900000000
2022-12-19,Geo1,97576,10000,14000,502673,0,,0,0.07529076830039182,715.497800000,99.449300000,102.308970000,3917.250500000,0E-9,173.5375327892847,4632201.000000000,92063.489409675,199816.900000000
2022-05-09,Geo1,341685,,294000,1082589,755320,,276770,0.03663616650976267,2505.481400000,2810.862500000,2181.823500000,8436.443000000,5885.386700000,3354.1267008614063,2724970.000000000,54722.833915150,199816.900000000
2023-07-31,Geo1,367498,445000,23000,904658,530834,,277803,0.023992908973040506,2694.761000000,4294.397500000,171.632060000,7049.855500000,4136.211400000,289.6455270865901,1828833.000000000,36548.130205200,199816.900000000
2023-10-09,Geo1,368852,321000,35000,924345,559545,,515646,0.11477700934041471,2704.689500000,3093.639600000,258.514430000,7203.273000000,4359.925000000,528.4339041782,6459065.500000000,128602.429172694,199816.900000000
2021-07-05,Geo1,329011,429000,306000,1216659,1059273,,1012480,0.042072635198890436,2412.546400000,4134.767600000,2275.096400000,9481.230000000,8253.762000000,4514.978051980563,3178565.500000000,63255.897766870,199816.900000000
2021-04-05,Geo1,575662,656000,17000,1384928,400659,,17792,0.038809831201160744,4221.170000000,6321.360000000,126.199394000,10792.523000000,3121.899400000,264.66677300622734,2558953.200000000,50907.671659421,199816.900000000
2022-03-14,Geo1,68698,235000,31000,224827,224361,,249906,0.03702747617026882,503.743400000,2261.553200000,232.862870000,1752.041000000,1748.201200000,370.44516987660614,2611908.800000000,52577.745039270,199816.900000000
2021-10-11,Geo1,637767,713000,400000,1354237,903969,,860451,0.05369627010683286,4676.569000000,6877.408700000,2975.171100000,10553.353000000,7043.646500000,6544.143795779556,3673188.200000000,73767.676245292,199816.900000000
2023-09-04,Geo10,4000134,2345000,2624000,6298058,3395765,,735819,0.021255358894035476,29331.877000000,22613.441000000,19501.258000000,49079.760000000,26459.500000000,41971.931066302815,9460972.000000000,189681.740935808,994048.940000000
2022-06-20,Geo10,0,0,565000,3816846,3364286,,753883,0.05556956574707832,0E-9,0E-9,4200.828000000,29744.072000000,26214.220000000,7615.561346561908,23018742.000000000,461178.102020832,994048.940000000
2021-10-11,Geo10,768411,,1088000,4582283,3774604,,2400750,0.04791200312572488,5634.545000000,17985.380000000,8082.386000000,35709.000000000,29411.380000000,16402.989763644156,19719698.000000000,391379.015372780,994048.940000000
2022-10-03,Geo10,1399964,1868000,1287000,3801736,1302686,,1051161,0.024541145507117702,10265.548000000,18008.895000000,9564.231000000,29626.322000000,10150.414000000,19805.302354388805,10996184.000000000,219020.376472952,994048.940000000
2022-05-09,Geo10,0,1249000,322000,3943531,3119495,,500853,0.020337658056195203,0E-9,12039.391000000,2392.980500000,30731.309000000,24306.830000000,4773.268067678686,10453359.000000000,209677.488911856,994048.940000000
2023-07-31,Geo10,791030,2455000,1349000,4248858,3652504,,1535682,0.017357258382646717,5800.404000000,23666.408000000,10025.157000000,33110.670000000,28459.988000000,15765.874756683268,8588343.000000000,171395.001924786,994048.940000000
2021-12-06,Geo10,236887,1938000,1400000,1949221,2885140,,0,0.028466517456508068,1737.026700000,18684.244000000,10400.158000000,15189.968000000,22480.756000000,16861.272610501273,11840298.000000000,237615.303569790,994048.940000000
2023-09-25,Geo10,1556975,,1426000,3237053,2733577,,338543,0.03875658864068793,11416.867000000,9434.350000000,10593.979000000,25225.838000000,21299.790000000,23299.541347847222,16098027.000000000,320463.101528460,994048.940000000
2022-02-28,Geo10,2320020,585000,53000,2778070,1355660,,296796,0.052271701117316265,17012.064000000,5637.372600000,391.906980000,21649.057000000,10563.183000000,679.4667222355241,22980446.000000000,457432.510900678,994048.940000000
2023-04-10,Geo10,1482808,585000,67000,1683416,533598,,0,0.04535943157290694,10873.021000000,5640.891600000,494.156460000,13118.592000000,4157.748500000,1053.4396941117543,16527560.000000000,331844.316294400,994048.940000000
2022-12-26,Geo10,961314,25000,584000,2450060,1154398,,7175,0.0196607743581913,7049.049300000,242.660160000,4339.221700000,19092.926000000,8994.967000000,7305.393808279058,8192896.000000000,163469.552150912,994048.940000000
2022-09-12,Geo10,434750,540000,2354000,3895460,2740416,,1260231,0.051062133981999776,3187.901600000,5202.977500000,17488.740000000,30356.697000000,21353.080000000,25968.042701108014,24354270.000000000,488076.375246300,994048.940000000
2022-07-04,Geo10,1526624,0,447000,2265138,2542964,,0,0.05392420476936402,11194.311000000,0E-9,3319.245400000,17651.860000000,19814.550000000,5582.738735869038,21337244.000000000,427770.369283884,994048.940000000
2022-10-24,Geo10,3719948,1325000,1891000,5263424,2575798,,1818997,0.05666860613874004,27277.348000000,12772.164000000,14048.534000000,41017.023000000,20070.390000000,21527.444301903473,23313426.000000000,462908.915432844,994048.940000000
2023-06-26,Geo10,4779204,3337000,3247000,5904974,3847027,,3962920,0.06176365725830422,35044.580000000,32176.396000000,24127.988000000,46016.520000000,29975.693000000,36431.11751025815,24217588.000000000,485483.665845532,994048.940000000
2023-06-05,Geo10,1197023,2237000,1685000,6812416,1799292,,419772,0.03396740198083268,8777.438000000,21569.941000000,12521.851000000,53088.070000000,14019.924000000,22555.446065923425,16252300.000000000,323582.155339000,994048.940000000
2021-11-29,Geo10,530328,0,118000,3887698,700466,,713385,0.06179416861659293,3888.748500000,0E-9,875.422300000,30296.210000000,5457.969000000,1521.2064325472966,25344098.000000000,508263.644190666,994048.940000000
2021-06-28,Geo10,1188945,0,1621000,5863961,2974520,,2634084,0.032362841554532965,8718.205000000,0E-9,12049.043000000,45696.910000000,23177.195000000,18357.403299467416,16052349.000000000,324882.207223080,994048.940000000
2021-05-03,Geo10,2992572,237000,483000,4388014,2209703,,0,0.04276875557024202,21943.701000000,2283.545000000,3588.638400000,34195.094000000,17217.810000000,6933.214520806359,17435202.000000000,351003.080606124,994048.940000000
